uid,type,SBU（部门）,PRD号码,产品名称,巴斯夫产品名称,产品别名,默认商店,线上购买链接,品牌,产品描述,产品分类,化学成分,外观,行业,特性和优点,应用行业,注册国家,"固含量
（%）",稀释剂[浓度],含水量,官能度，计算值,"分子量 
(Mw)","粘度, 25?C
(mPa.s)","粘度, 23?C
(Pa.s)",%NCO,K值,氯质量分数(%),酸值 （mg KOH/g）,"密度, 25?C (g/cm3)",玻璃化温度(?C),胺值 （mg KOH/g）,"pH 
(25oC)",最低成膜温度 (℃),冻融稳定性(-5 °C),羟值（mg KOH/g solids）,羟基含量（%基于固含）,软化点 (oC),VOC,粒径大小 nm,细度,色度 （Gardner),溶剂,包装,产地,样品包装,推荐配方
1,default,EDR,30282603,Joncryl? 942,Joncryl? 942,Joncryl? 942,1,https://basfinchina.1688.com/page/offerlist_98047612.htm?spm=a2615.7691456.autotrace-categoryNavNew.7.5836dc8buyLxDr,42,一款适用于高固体份聚氨酯涂料的快干型丙烯酸多元醇,74,丙烯酸多元醇,无色至浅黄色液体,"6,10",干燥速度快  |  硬度发展快速  |  优异的光泽和保光性  |  优异的耐化学品性  |  ,用于生产高性能的防护涂料，汽车修补漆和交通涂料#户内/户外一般金属涂料,CN,~ 73.5,,,,,"3,100 _ 10,000",,,,,,,,,,,,~ 140,4.2,,,,,,,204.117kg,US,"50314219,0,11",
1,default,EDR,30431259,Joncryl? 963,Joncryl? 963,Joncryl? 963,1,https://basfinchina.1688.com/page/offerlist_98047612.htm?spm=a2615.7691456.autotrace-categoryNavNew.7.5836dc8buyLxDr,42,一款低玻璃化转变温度，高弹性的改性树脂，适用于超低VOC要求的高固体系,74,丙烯酸多元醇,清澈液体,6,可作为增塑剂  |  98%， 固含的可流动液体  |  适用于超低 VOC 涂料配方  |  耐候性和耐酸雨性佳  |  ,适用于超低VOC要求的高固体份体系涂料配方#户内/户外一般金属涂料#汽车OEM和修补漆,CN,98%，,,,,,,7.5,,,,,,,,,,,130,3.9,,,,,,,204.118kg,,"50101621,0,11",
1,default,EDR,30565735,Joncryl? RPD 980-B,Joncryl? RPD 980-B,Joncryl? RPD 980-B,1,https://basfinchina.1688.com/page/offerlist_98047612.htm?spm=a2615.7691456.autotrace-categoryNavNew.7.5836dc8buyLxDr,42,快干型丙烯酸多元醇，适用于高固含量的聚氨酯涂料配方体系,74,快干型丙烯酸多元醇,澄清液体,"6,10",干燥速度快，固化时间短  |  平衡的活化期  |  可作为配方的主体树脂，也可作为辅助添加树脂  |  优异的光泽表现  |  适用于低VOC体系,汽车修补漆#室内/外一般工业防护涂料#提升整体配方的流动和流平性,CN,79.0 - 81.5,,,,,"3,600 - 8,000",,,,,,,,,,,,135 - 150,,,,,,,,204.117kg,US,"50308048,0,11",
1,default,EDR,30282595,Joncryl? 911,Joncryl? 911,Joncryl? 911,1,https://basfinchina.1688.com/page/offerlist_98047612.htm?spm=a2615.7691456.autotrace-categoryNavNew.7.5836dc8buyLxDr,42,一种丙烯酸多元醇，可用于高固体系的工业聚氨酯涂料,74,丙烯酸多元醇,澄清液体,"6,10",当量高  |  良好的耐候性  |  低VOC  |  具有成本效益  |  ,室内/外通用金属涂层,CN,77,,,,,"~ 7,000",,,,,,,,,,,,70,,,,,,,,204.117kg,,"50314207,0,11",
1,default,EDR,30631534,Basonol? HPE 1170 B,Basonol? HPE 1170 B,Basonol? HPE 1170 B,1,https://basfinchina.1688.com/page/offerlist_98047612.htm?spm=a2615.7691456.autotrace-categoryNavNew.7.5836dc8buyLxDr,53,含羟基的超支化聚酯，可添加于单组份体系和双组份聚氨酯体系作为辅助树脂，在清漆和色漆配方中提升漆膜性能,23,超支化聚酯,澄清液体,"6,10","对整体配方VOC的影响小，特别适用于高固体份涂料体系  |  可延长双组份体系的活化期  |  提升干燥速度，物理干燥和化学交联两者兼顾  |  改善早期抗粘连性  |  提升早期硬度,提高最终硬度  |  在清漆中提升流平性  |  提升漆膜的耐化学性  |  优异的耐候性，水解敏感性低  |  ",高固汽车修补清漆#OEM清漆#高固和超高固色漆和直接金属涂覆（DTM）体系#工程机械，交通运输工具等应用#,CN,(70 ± 2),,,,,,(4.4 ± 1.4),,,,,,,,,,,280 ± 10,,,,,,,,200kg,ES,"50428912,0,11",
1,default,EDR,30529407,Sovermol? 750,Sovermol? 750,Sovermol? 750,1,https://basfinchina.1688.com/page/offerlist_98047612.htm?spm=a2615.7691456.autotrace-categoryNavNew.7.5836dc8buyLxDr,49,一款适用于户外耐光稳定型聚氨酯体系的多元醇,24,支化聚醚/聚酯,低粘、黄色清澈液体,6,水解稳定性好  |  疏水性好  |  低粘度  |  高邵氏硬度D (D ~ 80)  |  可再生原料含量高  |  皂化稳定性好  |  极佳的耐化学品性能  |  玻璃转化温度Tg高  |  ,与MDI聚合物搭配使用时，可用于2K体系和浇铸材料。#与脂肪族HDI聚异氰酸酯搭配使用时，可用于户外耐候涂料。,CN,,,< 0.1%,3,,700 ~ 1400 (20℃),,,,,,,,,,,,300 ~ 330,,,,,,,,180kg,DE,"50339829,0,11",
1,default,EDR,30529365,Sovermol? 760,Sovermol? 760,Sovermol? 760,1,https://basfinchina.1688.com/page/offerlist_98047612.htm?spm=a2615.7691456.autotrace-categoryNavNew.7.5836dc8buyLxDr,49,一款适用于户外耐光稳定型聚氨酯体系的多元醇,24,支化聚醚/聚酯,中等粘度，黄色液体,6,水解稳定性好  |  疏水性好  |  玻璃化温度Tg极高  |  高邵氏硬度（D~90）  |  可再生原料含量高  |  皂化稳定性好  |  极佳的耐化学品性,与MDI聚合物搭配使用时，可用于2K体系和浇铸材料。#与脂肪族HDI聚异氰酸酯搭配使用时，可用于户外耐候涂料。,CN,,,< 0.2 %,3.5,,1500 ~ 3000,,,,,,,,,,,,370 ~ 410,,,,,,,,180kg,DE,"50339830,0,11",
1,default,EDR,30529323,Sovermol? 805,Sovermol? 805,Sovermol? 805,1,https://basfinchina.1688.com/page/offerlist_98047612.htm?spm=a2615.7691456.autotrace-categoryNavNew.7.5836dc8buyLxDr,49,一款用于聚氨酯体系的多元醇,24,支化聚醚/聚酯,黄色至浅棕色，中等粘度多元醇,6,通用型多元醇  |  邵氏硬度D (D ~ 70)  |  可再生原料含量高  |  极佳的抗冲击性能  |  极佳的耐化学品性能,与MDI聚合物搭配使用时，可用于2K体系和浇铸材料、裂纹桥接涂层、地板和胶粘剂。,CN,,,< 0.2 %,3.5,,2800 ~ 4000 (20℃),,,,,,,,,,,,160 ~ 185,,,,,,,,180kg,DE,"50339831,0,11",
1,default,EDR,30529346,Sovermol? 815,Sovermol? 815,Sovermol? 815,1,https://basfinchina.1688.com/page/offerlist_98047612.htm?spm=a2615.7691456.autotrace-categoryNavNew.7.5836dc8buyLxDr,49,一款用于聚氨酯体系的多元醇,24,支化聚醚/聚酯,黄色液体,6,低粘度通用型多元醇  |  良好的弹性记忆功能  |  可再生原料含量高  |  可用作颜料研磨基料  |  良好的耐化学品性能,与MDI聚合物搭配使用时，可用于刚柔性2K体系和浇铸材料。,CN,,,< 0.2%,3.5,,1300 ~ 1900,,,,,,,,,,,,210 ~ 230,,,,,,,,180kg  |  900kg  |  ,DE,"50339833,0,11",
1,default,EDR,30531422,Sovermol? 819,Sovermol? 819,Sovermol? 819,1,https://basfinchina.1688.com/page/offerlist_98047612.htm?spm=a2615.7691456.autotrace-categoryNavNew.7.5836dc8buyLxDr,49,一款用于聚氨酯体系的多元醇,24,油脂聚酯,黄色低粘度液体,6,原材料符合欧盟2002/72/EG resp.，2007/19/EC标准  |  低粘度通用型多元醇  |  良好的自流平性能  |  极强的疏水性  |  良好的粘结性  |  可再生原料含量高  |  ,与MDI聚合物搭配使用时，可用于2K体系和浇铸材料。#由于疏水和低粘度的特点，它非常适合用于电子灌注材料。,CN,,,≤ 0.2 %,2.6,,750 ~ 950,,,,,,,,,,,,230 ~ 250,,,,,,,,180kg,DE,"50339835,0,11",
1,default,EDR,30536784,Sovermol? 1092,Sovermol? 1092,Sovermol? 1092,1,https://basfinchina.1688.com/page/offerlist_98047612.htm?spm=a2615.7691456.autotrace-categoryNavNew.7.5836dc8buyLxDr,49,一款用于聚氨酯体系的多元醇,24,支化聚醚/聚酯,黄色低粘度液体,6,低粘度高性能多元醇  |  极佳的颜料润湿性（如TiO2）  |  极强的疏水性  |  良好的粘结性  |  硬度接近环氧体系  |  可再生原料含量高  |  ,与MDI聚合物搭配使用时，可用于2KPU涂料和胶粘剂。#由于疏水和低粘度的特点，它非常适合用于电子灌注材料。,CN,,,< 0.2 %,2.8,,650 ~ 950,,,,,,,,,,,,268 ~ 298,,,,,,,,180kg,DE,,
1,default,EDR,30617626,Sovermol? 45,Sovermol? 45,Sovermol? 45,1,https://basfinchina.1688.com/page/offerlist_98047612.htm?spm=a2615.7691456.autotrace-categoryNavNew.7.5836dc8buyLxDr,49,一款用于聚氨酯体系的多元醇,24,支化聚醚,中等粘度清澈液体,6,作为体系搭配树脂用，例如与Sovermol? 750 搭配使用  |  玻璃转化温度Tg高  |  交联密度高  |  可提高漆膜的耐化学品性能  |  疏水性好  |  官能度约为4  |  ,推荐用于要求高硬度，耐化学品性能优异的无溶剂体系,CN,,,< 0.15 %,4,,3000 ~ 6000,,,,,,,,,,,,530 ~ 610,,,,,,,,217kg,US,"50397656,0,11",
1,default,EDR,30697315,Sovermol* 100 N,Sovermol* 100 N,Sovermol* 100 N,1,https://basfinchina.1688.com/page/offerlist_98047612.htm?spm=a2615.7691456.autotrace-categoryNavNew.7.5836dc8buyLxDr,49,一款用于聚氨酯体系的多元醇,24,支化聚醚,清澈，中等粘度液体,6,"作为体系搭配树脂用，例如与Sovermol 750搭配使用  |  玻璃转化温度Tg高  |  交联密度高,疏水性好  |  可提高漆膜的耐化学品性能  |  饮用水可接触（需按当地法规执行）",推荐用于要求高硬度、耐化学品性能优异的无溶剂体系,CN,,,< 0.1 %,3,,5400 ~ 6400,,,,,,,,,,,,810 ~ 910,,,,,,,,200kg,BE,"50614939,0,11",
1,default,EDR,30529413,Sovermol? 1055,Sovermol? 1055,Sovermol? 1055,1,https://basfinchina.1688.com/page/offerlist_98047612.htm?spm=a2615.7691456.autotrace-categoryNavNew.7.5836dc8buyLxDr,49,一款用于聚氨酯体系的多元醇,24,含有环氧基团的聚酯树脂,淡黄色，低粘液体,6,可再生原料含量高  |  耐UV稳定性好  |  零VOC，无挥发性有机化合物 （标准 2004/42/EU）  |  可作为聚氨酯和环氧体系的增塑剂  |  ,与主体基础多元醇搭配使用 （例如：Sovermol?750），Sovermol? 1055在PU体系中可作为非反应性稀释剂，增塑剂和疏水剂，其耐UV稳定性好。#和液体环氧树脂相容性好，因此也可以作为该体系的活性稀释剂用,CN,,,< 0.2 %,,,0 ~ 20 (20℃),,,,,,,,,,,,,,,,,,,,180kg,DE,"50339802,0,11",
1,default,EDR,30528209,Sovermol? 1058,Sovermol? 1058,Sovermol? 1058,1,https://basfinchina.1688.com/page/offerlist_98047612.htm?spm=a2615.7691456.autotrace-categoryNavNew.7.5836dc8buyLxDr,49,一款非反应性稀释剂，可用于单组份和双组份聚氨酯体系,24,脂肪酸酯,黄色，低粘液体,6,高含量可再生原料  |  疏水  |  无挥发性有机化合物 （标准 2004/42/EU）  |  可作为聚氨酯和环氧体系的增塑剂  |  ,"与主体基础多元醇搭配（例如：Sovermol? 805）, Sovermol? 1058 在双组份聚氨酯体系中可作为非反应性稀释剂，降低体系粘度和改善加工性能。#基于低含水量(≤ 200 ppm)，Sovermol? 1058可作为稀释剂用于单组份潮气固化体系。",CN,,,< 0.02 %,,,0 ~ 15 (20℃),,,,,,,,,,,,,,,,,,,,175kg,FR,"50339816,0,11",
1,default,EDR,30529408,Sovermol? 1102,Sovermol? 1102,Sovermol? 1102,1,https://basfinchina.1688.com/page/offerlist_98047612.htm?spm=a2615.7691456.autotrace-categoryNavNew.7.5836dc8buyLxDr,49,一款适用于户外耐光稳定型聚氨酯体系的多元醇,24,轻微支化聚醚/聚酯,黄色低粘度清澈液体,6,通用型多元醇  |  疏水性好  |  反应型稀释剂  |  软弹性  |  凝胶时间延长剂,与MDI聚合物搭配使用时，可用于2KPU涂料和浇铸材料。,CN,,,< 0.1 %,2.1,,150 ~ 650 (20℃),,,,,,,,,,,,210 ~ 245,,,,,,,,180kg,DE,"50339823,0,11",
1,default,EDR,30529383,Sovermol? 1140,Sovermol? 1140,Sovermol? 1140,1,https://basfinchina.1688.com/page/offerlist_98047612.htm?spm=a2615.7691456.autotrace-categoryNavNew.7.5836dc8buyLxDr,49,一款用于聚氨酯体系的多元醇,24,脂肪酸改性聚酯,黄色低粘度清澈液体,6,适用于胶粘剂的通用型多元醇  |  疏水性好  |  凝胶时间延长剂  |  硬且有弹性  |  可再生原料含量高,与MDI聚合物搭配使用时，可用于聚氨酯半硬泡和电子产品浇注应用。,CN,,,< 0.2 %,2.7,,600 ~ 1400 (20℃),,,,,,,,,,,,190 ~ 230,,,,,,,,180kg,DE,,
1,default,EDR,30661977,Basonat? HB 175 MP/X CN,Basonat? HB 175 MP/X CN,Basonat? HB 175 MP/X CN,1,https://detail.1688.com/offer/570797037719.html,41,一款脂肪族缩二脲聚异氰酸酯固化剂，推荐应用于高耐光高耐候性双组份聚氨酯涂料,85,基于HDI（六亚甲基二异氰酸酯）的缩二脲聚异氰酸酯,透明粘稠液体,"2,6,10,",75% 固含，溶于丙二醇甲醚醋酸酯与二甲苯1:1的混合溶剂  |  含有溶剂版本的缩二脲聚异氰酸酯  |  高耐候性  |  高耐光性  |  ,用于高耐光和高耐候型涂料体系#用于在难附着基材表面 (例如铝或各种塑料)制作底漆,CN,74~ 76,,,,,,0.13~ 0.3,16~ 17,,,,,,,,,,,,,,,,,,200kg,CN,"50488070,0,11",
1,default,EDR,30662007,Basonat? HB 275 B CN,Basonat? HB 275 B CN,Basonat? HB 275 B CN,1,https://basfinchina.1688.com/page/offerlist_98047612.htm?spm=a2615.7691456.autotrace-categoryNavNew.7.5836dc8buyLxDr,41,一款脂肪族聚异氰酸酯固化剂，75%溶于乙酸丁酯。推荐用于高耐光高耐候的双组份聚氨酯体系中,85,基于HDI（六亚甲基二异氰酸酯）的缩二脲聚异氰酸酯,液体,"2,6,10,",75% 固含，溶于乙酸丁酯  |  含有溶剂版本的缩二脲聚异氰酸酯  |  高耐候性  |  高耐光性  |  ,用于高耐光和高耐候型涂料体系#用于在难附着基材表面 (例如铝或各种塑料)制作底漆,CN,74~ 76,,,,,,0.13~ 0.3,16~ 17,,,,,,,,,,,,,,,,,,200kg,CN,"50488133,0,11",
1,default,EDR,30555948,Basonat? HI 100 ap,Basonat? HI 100 ap,Basonat? HI 100 ap,1,https://detail.1688.com/offer/570670912367.html,41,应用于双组分聚氨酯涂料的高耐光和高耐候性脂肪族聚异氰酸酯,85,基于HDI（六亚甲基二异氰酸酯）的聚异氰酸酯,液体,"2,6,10,",,应用于高耐光和高耐候性双组分的聚氨酯涂料,CN,100,,,,,,"2,500 ~ 4,000",21.5 ~ 22.5,,,,,,,,,,,,,,,,,,230kg,CN,"50389318,0,11",
1,default,EDR,30555949,Basonat? HI 190 B/S ap,Basonat? HI 190 B/S ap,Basonat? HI 190 B/S ap,1,https://detail.1688.com/offer/570990839749.html,41,应用于双组分聚氨酯涂料的高耐光和高耐候性脂肪族聚异氰酸酯,85,基于HDI（六亚甲基二异氰酸酯）的聚异氰酸酯,液体,"2,6,10,",,应用于高耐光和高耐候性双组分的聚氨酯涂料,CN,90,,,,,,450 ~ 650,19.3 ~ 20.3,,,,,,,,,,,,,,,,,,230kg,CN,"50389320,0,11",
1,default,EDR,30593297,Basonat? HI 2000 NG,Basonat? HI 2000 NG,Basonat? HI 2000 NG,1,https://basfinchina.1688.com/page/offerlist_98047612.htm?spm=a2615.7691456.autotrace-categoryNavNew.7.5836dc8buyLxDr,41,适用于双组分聚氨酯涂料的高耐光和高耐候性的脂肪族低粘度聚异氰酸酯固化剂,85,基于HDI（六亚甲基二异氰酸酯）的聚异氰酸酯,透明低粘度液体,"2,6,10,",不含溶剂  |  低粘度  |  基于HDI的异氰酸酯三聚体  |  优异的耐候性  |  良好的耐光性,主要用于耐晒和耐候型涂料,CN,100,,,,,,"900 ~ 1,500",22.5 - 23.5,,,,,,,,,,,,,,,,,,230kg,DE,"50354575,0,11",
1,default,EDR,30046484,Basonat? HA 1000,Basonat? HA 1000,Basonat? HA 1000,1,https://basfinchina.1688.com/page/offerlist_98047612.htm?spm=a2615.7691456.autotrace-categoryNavNew.7.5836dc8buyLxDr,41,一款低粘度脂肪族异氰酸酯固化剂，推荐应用于高耐光高耐候的双组分聚氨酯涂料体系,85,脲基甲酸酯改性HDI（六亚甲基二异氰酸酯）,透明低粘度液体,"6,10",不含溶剂  |  低粘度  |  同时具有异氰酸酯和脲基甲酸酯结构  |  优异的耐候性  |  良好的耐光性  |  高官能度  |  ,推荐用于高耐光高耐候的高固体系,CN,100,,,~ 3.18,,,"900 ~ 1,500",21~ 23,,,,,,,,,,,,,,,,,,,DE,"50028412,0,11",
1,default,EDR,30041236,Basonat? HA 2000,Basonat? HA 2000,Basonat? HA 2000,1,https://basfinchina.1688.com/page/offerlist_98047612.htm?spm=a2615.7691456.autotrace-categoryNavNew.7.5836dc8buyLxDr,41,一款低粘度脂肪族异氰酸酯固化剂，推荐应用于高耐光高耐候的双组分聚氨酯涂料,85,脲基甲酸酯改性HDI（六亚甲基二异氰酸酯）,透明低粘度液体,"6,10",不含溶剂  |  低粘度  |  同时具有异氰酸酯和脲基甲酸酯结构  |  优异的耐候性  |  良好的耐光性  |  高官能度  |  ,推荐用于高耐光高耐候的高固体系,CN,100,,,~ 2.92,,,500~ 900,18.5~ 21.5,,,,,,,,,,,,,,,,,,,DE,"50008265,0,11",
1,default,EDR,30041230,Basonat? HA 3000,Basonat? HA 3000,Basonat? HA 3000,1,https://basfinchina.1688.com/page/offerlist_98047612.htm?spm=a2615.7691456.autotrace-categoryNavNew.7.5836dc8buyLxDr,41,一款低粘度脂肪族异氰酸酯固化剂，推荐应用于高耐光高耐候的双组分聚氨酯涂料,85,脲基甲酸酯改性HDI（六亚甲基二异氰酸酯）,透明低粘度液体,"6,10",不含溶剂  |  低粘度  |  同时具有异氰酸酯和脲基甲酸酯结构  |  优异的耐候性  |  良好的耐光性,推荐用于高耐光高耐候的高固体系,CN,100,,,~ 2.44,,,200~ 400,18.5 ~ 19.5,,,,,,,,,,,,,,,,,,,DE,"50056040,0,11",
1,default,EDR,30053299,Basonat? HW 1180 PC,Basonat? HW 1180 PC,Basonat? HW 1180 PC,1,https://basfinchina.1688.com/page/offerlist_98047612.htm?spm=a2615.7691456.autotrace-categoryNavNew.7.5836dc8buyLxDr,41,一款乳化改性的脂肪族聚异氰酸酯固化剂，适用于水性高耐光高耐候的双组份聚氨酯涂料体系,85,基于HDI（六亚甲基二异氰酸酯）的乳化改性聚异氰酸酯,透明粘稠液体,"6,10",基于 Basonat? HW 1000的80% 固含，溶于碳酸丙烯酯  |  聚异氰酸酯固化剂  |  高耐候性  |  高耐光性  |  易分散  |  良好的反应活性和适中的活化期  |  ,推荐应用于水性双组份聚氨酯面漆体系的固化剂，室内和户外皆可使用。,CN,79 ~ 81,,,,,,450~ 850,13~ 14,,,,,,,,,,,,,,,,,,200kg  |  60kg  |  ,DE,"50059326,0,11",
1,default,EDR,30671545,Basonat? HW 3280 MBA,Basonat? HW 3280 MBA,Basonat? HW 3280 MBA,1,https://basfinchina.1688.com/page/offerlist_98047612.htm?spm=a2615.7691456.autotrace-categoryNavNew.7.5836dc8buyLxDr,41,一款可水乳化功能型聚异氰酸酯固化剂，适用于快干型水性双组分聚氨酯涂料。,85,基于六亚甲基二异氰酸酯（HDI）和异氟尔酮二异氰酸酯（IPDI）改性的水性异氰酸酯固化剂,透明液体,"6,10",80% 固含在MBA（Butoxyl?1）溶剂中  |  乳化改性的六亚甲基和异佛尔酮二异氰酸酯低聚物的组合  |  提高了物理干燥和硬度建立的速度  |  高弹性的同时提高了最终硬度  |  良好的耐候性  |  与一级和二级乳液均具有较好的相容性  |  与成膜助剂相容性好  |  完全固化后具有良好的耐化学品性  |  ,推荐应用于环保、高耐久性且高性能的双组分聚氨酯工业涂料,CN,,,,,,,,,,,,,,,,,,,,,,,,,,200kg,DE,"50512557,0,11",16
1,default,EDR,30667659,Basonat? HW 2100 CN,Basonat? HW 2100 CN,Basonat? HW 2100 CN,1,https://basfinchina.1688.com/page/offerlist_98047612.htm?spm=a2615.7691456.autotrace-categoryNavNew.7.5836dc8buyLxDr,41,一款可水乳化的改性异氰酸酯固化剂，可用含羟基的水性树脂交联（例如一级和二级乳液）,85,基于六亚甲基二异氰酸酯（HDI）的乳化改性聚异氰酸酯,透明粘稠液体,"6,10",可应用于水性双组份聚氨酯体系  |  高品质水性聚氨酯体系的固化剂  |  在水中易乳化  |  与一级和二级乳液相容性好  |  耐黄变，耐光性极佳  |  优异的透明度和高光泽度  |  良好的耐化学性,应用于环保耐用的高性能双组份聚氨酯工业涂料,CN,,,,,,,,,,,,,,,,,,,,,,,,,,200kg  |  50kg  |  1000kg,CN,"50501042,0,11",
1,default,EDR,30041500,Luwipal? 012,Luwipal? 012,Luwipal? 012,1,https://basfinchina.1688.com/page/offerlist_98047612.htm?spm=a2615.7691456.autotrace-categoryNavNew.7.5836dc8buyLxDr,46,一款低丁醇醚化的三聚氰胺甲醛树脂，可作为单组份烤漆的交联剂,78,"低丁醚化的三聚氰胺树脂 （含亚氨基）, 溶于正丁醇和二甲苯（3:2）的混合溶剂中",无色清澈粘性液体,10,高反应活性  |  低温烘烤性能优异  |  高硬度  |  耐溶剂性能优异  |  耐候性能优异  |  耐光性能优异  |  ,主要推荐用于汽车原厂漆体系的溶剂型罩光清漆单组份烤漆，具有优异的耐溶剂性能和高硬度。,CN,56 ~ 60,,,,,,0.6 ~ 1.0,,,,,,,,,,,,,,,,,,,200kg,DE,"50027822,0,11",
1,default,EDR,30041478,Luwipal? 018,Luwipal? 018,Luwipal? 018,1,https://basfinchina.1688.com/page/offerlist_98047612.htm?spm=a2615.7691456.autotrace-categoryNavNew.7.5836dc8buyLxDr,46,一款部分丁醇醚化的三聚氰胺甲醛树脂，可作为单组份烤漆的交联剂,78,"中度丁醚化的三聚氰胺甲醛树脂 （含羟甲基）, 溶于正丁醇中",无色清澈粘性液体,10,反应活性好  |  耐化学性能好  |  高硬度  |  反应性和柔韧性之间的平衡  |  耐候性能优异  |  耐光性能优异  |  ,一款标准的高性能烤漆用氨基树脂，主要推荐用于溶剂型汽车原厂罩光清漆体系中。,CN,71 ~ 75,,,,,,4.0 ~ 7.0,,,,,,,,,,,,,,,,,,,200kg,DE,"50497961,0,11",
1,default,EDR,30212938,Larotact? 150,Larotact? 150,Larotact? 150,1,https://basfinchina.1688.com/page/offerlist_98047612.htm?spm=a2615.7691456.autotrace-categoryNavNew.7.5836dc8buyLxDr,48,适用于烤漆体系的低分子量交联剂，与氨基搭配使用可提高漆膜的交联密度以及各种耐性。产品溶剂体系为正丁醇,78,三嗪类衍生物，溶于正丁醇中,液体,10,,适用于低温烘烤体系，但反应温度需大于120 °C。交联反应过程中不会释放甲醛。#没有自聚的倾向，制得的漆膜兼具硬度和柔韧性。#推荐用于汽车，工业和卷钢涂料。,CN,48 ~ 52,,,,,10 ~ 50 (23℃),,,,,,,,,3 ~ 6,,,,,,,,,,,190kg,DE,"54564970,0,11",
1,default,EDR,30042030,Laroflex? MP 15,Laroflex? MP 15,Laroflex? MP 15,1,https://basfinchina.1688.com/page/offerlist_98047612.htm?spm=a2615.7691456.autotrace-categoryNavNew.7.5836dc8buyLxDr,43,一款耐水解的氯醚树脂，适用于基于钢结构，特殊金属，矿质基材的涂料和路标漆等物理干燥型涂料配方体系,76,基于氯乙烯和乙烯异丁基醚的共聚树脂,白色细粉状,6,提升木材的自然纹理和颜色  |  良好的粘弹性，附着力和硬度  |  优异的韧性,工业防护涂料#船舶涂料和水下防腐涂料#机器机械装置，汽车和集装箱涂料#镀锌板和铝板上的涂层#矿物基材的涂层，路标漆，阻燃涂料，等,CN,,,,,,15,,,~ 30,40,,,,,,,,,,,,,,,,20kg,DE,"50052733,0,11",
1,default,EDR,30041322,Laroflex? MP 25,Laroflex? MP 25,Laroflex? MP 25,1,https://basfinchina.1688.com/page/offerlist_98047612.htm?spm=a2615.7691456.autotrace-categoryNavNew.7.5836dc8buyLxDr,43,一款耐水解的氯醚树脂，适用于基于钢结构，特殊金属，矿质基材的涂料和路标漆等物理干燥型涂料配方体系,76,基于氯乙烯和乙烯异丁基醚的共聚树脂,白色细粉状,6,优异的防腐蚀性能  |  高光泽  |  优异的溶解性,工业防护涂料#船舶涂料和水下防腐涂料#机器机械装置，汽车和集装箱涂料#镀锌板和铝板上的涂层#矿物基材的涂层，路标漆，阻燃涂料，等,CN,,,,,,23,,,~ 35,44,,,,,,,,,,,,,,,,20kg,DE,"50070651,0,11",
1,default,EDR,30041321,Laroflex? MP 35,Laroflex? MP 35,Laroflex? MP 35,1,https://basfinchina.1688.com/page/offerlist_98047612.htm?spm=a2615.7691456.autotrace-categoryNavNew.7.5836dc8buyLxDr,43,一款耐水解的氯醚树脂，适用于基于钢结构，特殊金属，矿质基材的涂料和路标漆等物理干燥型涂料配方体系,76,基于氯乙烯和乙烯异丁基醚的共聚树脂,白色细粉状,6,优异的防腐蚀性能  |  优异的溶解性  |  ,工业防护涂料#船舶涂料和水下防腐涂料#机器机械装置，汽车和集装箱涂料#镀锌板和铝板上的涂层#矿物基材的涂层，路标漆，阻燃涂料，等,CN,,,,,,35,,,~ 35,44,,,,,,,,,,,,,,,,20kg,DE,"57045478,0,11",
1,default,EDR,30041320,Laroflex? MP 45,Laroflex? MP 45,Laroflex? MP 45,1,https://basfinchina.1688.com/page/offerlist_98047612.htm?spm=a2615.7691456.autotrace-categoryNavNew.7.5836dc8buyLxDr,43,一款耐水解的氯醚树脂，适用于基于钢结构，特殊金属，矿质基材的涂料和路标漆等物理干燥型涂料配方体系,76,基于氯乙烯和乙烯异丁基醚的共聚树脂,白色细粉状,6,优异的防腐蚀性能  |  优异的溶解性  |  ,工业防护涂料#船舶涂料和水下防腐涂料#机器机械装置，汽车和集装箱涂料#镀锌板和铝板上的涂层#矿物基材的涂层，路标漆，阻燃涂料，等,CN,,,,,,45,,,~ 35,44,,,,,,,,,,,,,,,,20kg,DE,"50052839,0,11",
1,default,EDR,30041405,Laropal? A 81,Laropal? A 81,Laropal? A 81,1,https://basfinchina.1688.com/page/offerlist_98047612.htm?spm=a2615.7691456.autotrace-categoryNavNew.7.5836dc8buyLxDr,45,一款用于颜料分散的醛树脂,21,尿素和脂肪族醛的缩聚产物,片状,"2,6,10",美化木材的自然纹路和颜色   |  良好的粘弹性，附着力和硬度  |  优异的韧性,对颜料有很好的润湿性能并且本身溶液粘度很低，可以用来制作高载入量的颜料色浆。#耐热稳定，可以用于烤漆体系，不会产生气味或是褪色。#户内／外一般工业金属涂料#汽车OEM#,CN,,,,,,,,,,,,,,,,,,~ 40,,,,,,,,25kg,DE,"50018865,0,11",
